"","X","Year","Month","Day","DOY","AirTmax1","AirTmin1","AirTmin2","AirTmax0","SR","Srmax","precip","RH.6","RH.15","wind","cloud","DateID"
"1",1,2020,5,16,137,11,2.8,4.4,16.6,14.9,35.3,1.7,89,41,3,0.93,18398
"2",2,2020,5,17,138,11.4,4.4,-0.8,11,17.9,30.4,1.2,78,52,2.4,0.84,18399
"3",3,2020,5,18,139,12.9,-0.8,1,11.4,23.3,30.1,0.6,98,55,1.4,0.7,18400
"4",4,2020,5,19,140,13.9,1,-0.2,12.9,13.6,32.4,0.2,100,49,1.5,0.93,18401
"5",5,2020,5,20,141,13.2,-0.2,0.4,13.9,25.3,25.7,0,90,37,2.1,0.3,18402
"6",6,2020,5,21,142,16.9,0.4,4.2,13.2,32.4,36.1,0,92,30,1.8,0.54,18403
"7",7,2020,5,22,143,17.4,4.2,6.7,16.9,37,39.1,0,64,34,2.3,0.44,18404
"8",8,2020,5,23,144,14.2,6.7,6.9,17.4,13.8,27.8,2.5,63,76,3.7,0.89,18405
"9",9,2020,5,24,145,16.9,6.9,4.2,14.2,20.2,36.7,0,94,48,2.1,0.86,18406
"10",10,2020,5,25,146,17.9,4.2,3.7,16.9,23.6,35.3,0,97,47,1.6,0.78,18407
"11",11,2020,5,26,147,22,3.7,9.9,17.9,33,33.9,0,90,34,1.3,0.36,18408
"12",12,2020,5,27,148,19.2,9.9,4,22,16.3,36.7,2.8,75,55,2.3,0.92,18409
"13",13,2020,5,28,149,16.1,4,3.3,19.2,21.4,29.1,0,77,44,2.3,0.73,18410
"14",14,2020,5,29,150,18,3.3,5,16.1,19.7,35.8,0,80,44,1.9,0.86,18411
"15",15,2020,5,30,151,18.6,5,7,18,23.9,36.8,0,73,46,3.5,0.8,18412
"16",16,2020,5,31,152,21,7,6.9,18.6,39.4,40.5,0,75,35,3.3,0.36,18413
"17",17,2020,6,1,153,26.5,6.9,11.2,21,35.3,37.3,0,61,39,1.9,0.44,18414
"18",18,2020,6,2,154,25.5,11.2,4.6,26.5,39.4,39.6,0,74,44,3.1,0.21,18415
"19",19,2020,6,3,155,19.2,4.6,4,25.5,33.6,38.4,0,85,42,2.4,0.58,18416
"20",20,2020,6,4,156,20.2,4,8.6,19.2,20.4,37.1,0,87,52,2.4,0.86,18417
"21",21,2020,6,5,157,19.6,8.6,11.1,20.2,17.4,34.1,7.1,89,59,2.6,0.89,18418
"22",22,2020,6,6,158,16.3,11.1,9.7,19.6,15.1,40,8.9,98,84,4,0.96,18419
"23",23,2020,6,7,159,18.6,9.7,8.6,16.3,25.4,35.5,0,73,51,4.2,0.75,18420
"24",24,2020,6,8,160,19.9,8.6,6.1,18.6,20,39.1,0,89,50,1.2,0.89,18421
"25",25,2020,6,9,161,21.2,6.1,7.3,19.9,28.8,34.3,0,88,51,1.4,0.63,18422
"26",26,2020,6,10,162,21.5,7.3,9,21.2,40.5,40.5,0,77,41,2.7,0,18423
"27",27,2020,6,11,163,21.8,9,9.9,21.5,40.3,40.5,0,69,34,4.3,0.21,18424
"28",28,2020,6,12,164,24,9.9,9.6,21.8,36.3,39.7,0,80,34,3.1,0.51,18425
"29",29,2020,6,13,165,23,9.6,8.7,24,40.9,40.9,0,73,34,3,0,18426
