Day from Jan 1,depth (cm)
9,189
10,188
23,163
24,124
25,122
29,137
30,137
31,138
32,138
35,139
36,146
55,180
69,215
71,220
72,219
73,223
74,224
75,227
76,229
77,230
78,232
79,232
80,236
81,238
82,238
83,240
84,240
85,242
86,244
87,247
88,248
89,250
90,253
91,188
92,192
93,192
94,194
95,197
96,200
97,202
98,204
99,205
100,209
101,211
102,211
103,213
104,215
105,218
106,221
107,225
108,225
109,227
110,230
111,233
112,234
113,237
114,238
115,158
116,34
117,22
118,26
119,27
120,30
121,31
122,40
123,38
124,42
125,45
126,53
127,49
128,54
129,57
130,58
131,57
132,60
133,62
134,62
135,62
136,62
137,66
138,68
139,71
140,75
141,78
142,78
144,77
147,82
148,84
149,85
154,99
157,99
162,109
164,116
165,118
166,118
167,117
168,119
169,117
170,123
181,142
182,144
205,198
220,23900
241,154
248,171
249,171
289,255
291,155
292,36
294,33
299,47
301,52
304,60
305,59
308,70
309,66
314,73
316,82
317,82
325,95
326,104
329,112
334,120
341,139
342,142
352,169
353,169
