station,date,glorad
606900,01/01/2014,0.5
606900,02/01/2014,0.3
606900,03/01/2014,0.4
606900,04/01/2014,1.3
606900,05/01/2014,0.6
606900,06/01/2014,0.6
606900,07/01/2014,0.5
606900,08/01/2014,0.6
606900,09/01/2014,0.3
606900,10/01/2014,1.2
606900,11/01/2014,0.8
606900,12/01/2014,1.9
606900,13/01/2014,0.6
606900,14/01/2014,1.2
606900,15/01/2014,0.6
606900,16/01/2014,0.5
606900,17/01/2014,0.5
606900,18/01/2014,0.6
606900,19/01/2014,0.5
606900,20/01/2014,0.2
606900,21/01/2014,0.7
606900,22/01/2014,0.7
606900,23/01/2014,0.7
606900,24/01/2014,1.5
606900,25/01/2014,2.1
606900,26/01/2014,0.8
606900,27/01/2014,0.9
606900,28/01/2014,0.6
606900,29/01/2014,1
606900,30/01/2014,1.5
606900,31/01/2014,0.8
606900,01/02/2014,1.1
606900,02/02/2014,2.7
606900,03/02/2014,4.7
606900,04/02/2014,1.7
606900,05/02/2014,2.4
606900,06/02/2014,1.5
606900,07/02/2014,0.8
606900,08/02/2014,1.5
606900,09/02/2014,1.1
606900,10/02/2014,1.9
606900,11/02/2014,3.9
606900,12/02/2014,4.7
606900,13/02/2014,3.4
606900,14/02/2014,3
606900,15/02/2014,2.4
606900,16/02/2014,2.1
606900,17/02/2014,5.6
606900,18/02/2014,2.4
606900,19/02/2014,2.6
606900,20/02/2014,1.9
606900,21/02/2014,4.2
606900,22/02/2014,2.7
606900,23/02/2014,3.4
606900,24/02/2014,6.5
606900,25/02/2014,6.3
606900,26/02/2014,4.4
606900,27/02/2014,7.2
606900,28/02/2014,4.5
606900,01/03/2014,4.2
606900,02/03/2014,3.1
606900,03/03/2014,5.9
606900,04/03/2014,5
606900,05/03/2014,2.6
606900,06/03/2014,4.9
606900,07/03/2014,4.7
606900,08/03/2014,8
606900,09/03/2014,11.3
606900,10/03/2014,7.9
606900,11/03/2014,12.9
606900,12/03/2014,12.7
606900,13/03/2014,12.8
606900,14/03/2014,7.5
606900,15/03/2014,11.4
606900,16/03/2014,9.6
606900,17/03/2014,10.2
606900,18/03/2014,4.2
606900,19/03/2014,3.9
606900,20/03/2014,13.2
606900,21/03/2014,7.1
606900,22/03/2014,9.8
606900,23/03/2014,10.5
606900,24/03/2014,10.2
606900,25/03/2014,13
606900,26/03/2014,7.2
606900,27/03/2014,3.8
606900,28/03/2014,9.5
606900,29/03/2014,13.4
606900,30/03/2014,13.7
606900,31/03/2014,5.9
606900,01/04/2014,10
606900,02/04/2014,5.6
606900,03/04/2014,17.6
606900,04/04/2014,15.4
606900,05/04/2014,2.6
606900,06/04/2014,6.7
606900,07/04/2014,5.7
606900,08/04/2014,4.1
606900,09/04/2014,9.6
606900,10/04/2014,9.5
606900,11/04/2014,14.9
606900,12/04/2014,8.8
606900,13/04/2014,12.9
606900,14/04/2014,14.2
606900,15/04/2014,21.9
606900,16/04/2014,19.6
606900,17/04/2014,8.9
606900,18/04/2014,10.8
606900,19/04/2014,19
606900,20/04/2014,20.8
606900,21/04/2014,12.4
606900,22/04/2014,17.4
606900,23/04/2014,14.5
606900,24/04/2014,5.8
606900,25/04/2014,21.2
606900,26/04/2014,23.2
606900,27/04/2014,22.7
606900,28/04/2014,22.6
606900,29/04/2014,23.4
606900,30/04/2014,16.5
606900,01/05/2014,23.9
606900,02/05/2014,22.9
606900,03/05/2014,21.5
606900,04/05/2014,20.8
606900,05/05/2014,6.6
606900,06/05/2014,10.4
606900,07/05/2014,13.7
606900,08/05/2014,10.7
606900,09/05/2014,8.9
606900,10/05/2014,12.2
606900,11/05/2014,11
606900,12/05/2014,11.4
606900,13/05/2014,7.4
606900,14/05/2014,15.7
606900,15/05/2014,24.9
606900,16/05/2014,18.4
606900,17/05/2014,25.9
606900,18/05/2014,21.1
606900,19/05/2014,12.8
606900,20/05/2014,25.4
606900,21/05/2014,16.8
606900,22/05/2014,20.8
606900,23/05/2014,8.6
606900,24/05/2014,20
606900,25/05/2014,25.4
606900,26/05/2014,24.7
606900,27/05/2014,25.5
606900,28/05/2014,21.4
606900,29/05/2014,29.6
606900,30/05/2014,27.6
606900,31/05/2014,14.7
606900,01/06/2014,21.6
606900,02/06/2014,23.2
606900,03/06/2014,17.1
606900,04/06/2014,21.9
606900,05/06/2014,16.4
606900,06/06/2014,21.2
606900,07/06/2014,26.5
606900,08/06/2014,16.6
606900,09/06/2014,29.2
606900,10/06/2014,25
606900,11/06/2014,21.1
606900,12/06/2014,27.2
606900,13/06/2014,23
606900,14/06/2014,27.2
606900,15/06/2014,27.1
606900,16/06/2014,23.4
606900,17/06/2014,26.4
606900,18/06/2014,24.7
606900,19/06/2014,14.3
606900,20/06/2014,13.7
606900,21/06/2014,25.1
606900,22/06/2014,29.7
606900,23/06/2014,28.3
606900,24/06/2014,18.3
606900,25/06/2014,17.1
606900,26/06/2014,25.4
606900,27/06/2014,15.3
606900,28/06/2014,14.6
606900,29/06/2014,16.2
606900,30/06/2014,24
606900,01/07/2014,20.7
606900,02/07/2014,14.7
606900,03/07/2014,7.7
606900,04/07/2014,23.5
606900,05/07/2014,10.2
606900,06/07/2014,16.1
606900,07/07/2014,16.8
606900,08/07/2014,16.6
606900,09/07/2014,26
606900,10/07/2014,27.5
606900,11/07/2014,27.6
606900,12/07/2014,21.7
606900,13/07/2014,2.5
606900,14/07/2014,7.9
606900,15/07/2014,9.8
606900,16/07/2014,22.5
606900,17/07/2014,18.8
